filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spec_centroid,spec_rolloff,zcr,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,label,file_path,file_hash
001__[tru][nod][jaz_blu]1986__1.wav,-149.5264434814453,152.75509643554688,-32.9491081237793,41.4911994934082,-22.382287979125977,42.448970794677734,-14.681265830993652,23.99964714050293,-14.712138175964355,1.2468054294586182,-8.614996910095215,-6.070980072021484,3.386310577392578,2734.0714349662203,5940.753008868243,0.06008498733108108,0.25115150213241577,0.24169926345348358,0.4647865295410156,0.319612979888916,0.21757720410823822,0.33024322986602783,0.269637793302536,0.30587640404701233,0.3749721348285675,0.3304263949394226,0.3194524049758911,0.24157005548477173,Unknown,C:\Users\hoang\Desktop\music media\wind_instruments\001__[tru][nod][jaz_blu]1986__1.wav,547f8d441ef6ebf297aa54c83cc8d3e0bccd4a0c97d1a2a6d1baecba06d4a3df
001__[tru][nod][jaz_blu]1986__2.wav,-154.5154571533203,144.0866241455078,-38.3896484375,52.55613708496094,-22.695398330688477,41.14311981201172,-19.43325424194336,24.52417755126953,-17.507638931274414,0.9994534850120544,-6.824833393096924,-1.8912614583969116,5.954347610473633,3224.8349022692137,7241.474873310811,0.06923601894305019,0.3421226739883423,0.492158979177475,0.7001149654388428,0.47020986676216125,0.3720059394836426,0.4473685920238495,0.5071843862533569,0.6433611512184143,0.37168750166893005,0.30601510405540466,0.3709498345851898,0.3434479236602783,Unknown,C:\Users\hoang\Desktop\music media\wind_instruments\001__[tru][nod][jaz_blu]1986__2.wav,c180578399e6c51b9adcdbb891590f76ae21e6619c077c7947256042819fdad5
001__[tru][nod][jaz_blu]1986__3.wav,-147.98680114746094,150.2806854248047,-44.18214416503906,44.94215393066406,-17.970182418823242,36.74281311035156,-16.850069046020508,19.04728126525879,-17.89887046813965,-4.717331886291504,-8.47592830657959,-3.203989028930664,8.731006622314453,2735.1253596679667,5819.6183488175675,0.060292365468146716,0.22656521201133728,0.1694185435771942,0.29420673847198486,0.3767421543598175,0.2699858248233795,0.3183131814002991,0.35467764735221863,0.3375227749347687,0.2953055202960968,0.20231617987155914,0.14781099557876587,0.2942902147769928,Unknown,C:\Users\hoang\Desktop\music media\wind_instruments\001__[tru][nod][jaz_blu]1986__3.wav,dec3cd51636c4064fea9c718636e8fc332731840a5794dd0309a021238e02d93
006__[sax][nod][cla]1686__1.wav,-413.9309997558594,207.8040313720703,-22.068098068237305,-14.186793327331543,15.088851928710938,-0.9665805697441101,-15.73850154876709,-18.362546920776367,-19.197235107421875,-7.92864990234375,-6.505375862121582,-1.5426582098007202,5.9542155265808105,1190.2687364360502,1935.5772276182433,0.04177161257239382,0.16424360871315002,0.28937995433807373,0.07295076549053192,0.09253250807523727,0.35009825229644775,0.4744406044483185,0.3915037512779236,0.11967184394598007,0.05146272853016853,0.025258881971240044,0.03150712326169014,0.07843863219022751,Saxophone,C:\Users\hoang\Desktop\music media\wind_instruments\006__[sax][nod][cla]1686__1.wav,6e105813fdbc4e3ca8ba9e556ab753e27bfd834f4ea16656c146ef040ce9f237
006__[sax][nod][cla]1686__2.wav,-416.1744384765625,197.91387939453125,7.23993444442749,-18.091106414794922,8.51034927368164,-1.546155571937561,-14.161088943481445,-12.579401016235352,-8.338418960571289,-9.203113555908203,-16.003694534301758,-14.707002639770508,-9.047996520996094,894.056233326232,1294.5695206925675,0.022368559966216218,0.09274928271770477,0.16069923341274261,0.09343388676643372,0.151900976896286,0.44127681851387024,0.44194257259368896,0.48585936427116394,0.19895526766777039,0.06285473704338074,0.03167397156357765,0.03258725628256798,0.07954595983028412,Saxophone,C:\Users\hoang\Desktop\music media\wind_instruments\006__[sax][nod][cla]1686__2.wav,811054304be093355055d17aa4799b1764b1403fb5a87f7489dae365844ee053
006__[sax][nod][cla]1686__3.wav,-432.7831115722656,159.2058868408203,20.751493453979492,-6.249773979187012,5.540964603424072,-7.586587905883789,-16.567659378051758,-13.778915405273438,-11.499200820922852,-10.25798225402832,-11.65764045715332,-13.47839069366455,-12.44909954071045,889.0598089295115,1231.8821262668919,0.02085281430984556,0.02279861830174923,0.0391155369579792,0.1213240921497345,0.3679583966732025,0.536266565322876,0.3140791356563568,0.45127877593040466,0.23693332076072693,0.0545085072517395,0.03427433967590332,0.06425773352384567,0.06012994050979614,Saxophone,C:\Users\hoang\Desktop\music media\wind_instruments\006__[sax][nod][cla]1686__3.wav,62d4c76ee68d89146a65d114dffa7a6dd3793415e6e7a64cc0ab0ac05d4a8cb5
008__[flu][nod][cla]0393__1.wav,-380.3376159667969,194.6524200439453,0.8453114032745361,-12.051192283630371,-26.307708740234375,-1.428256869316101,-24.31415557861328,-6.283201694488525,-30.79877471923828,-28.553659439086914,-16.88861083984375,-7.628513336181641,4.840516567230225,1324.1992497738836,1637.105415962838,0.0427406340492278,0.06794027239084244,0.13539667427539825,0.16269680857658386,0.45547810196876526,0.36138659715652466,0.15226107835769653,0.5265382528305054,0.34412431716918945,0.25757697224617004,0.3156093657016754,0.22501854598522186,0.1506851762533188,Flute,C:\Users\hoang\Desktop\music media\wind_instruments\008__[flu][nod][cla]0393__1.wav,49afa98edfc8b49bbec6a9f45c07951ce6b152230657611755695097a0c2d7ce
008__[flu][nod][cla]0393__2.wav,-392.3315124511719,214.48606872558594,-7.058401107788086,-12.224262237548828,-24.811845779418945,-8.268991470336914,-28.91095733642578,-16.00274085998535,-25.053834915161133,-15.766817092895508,-7.407276630401611,-9.103988647460938,-4.731386661529541,1123.9741705022213,1609.3367293074325,0.03318238718629344,0.19326730072498322,0.29136091470718384,0.21377266943454742,0.19096457958221436,0.16008295118808746,0.12618876993656158,0.370328426361084,0.4296959638595581,0.44721996784210205,0.47759726643562317,0.33801087737083435,0.4128815531730652,Flute,C:\Users\hoang\Desktop\music media\wind_instruments\008__[flu][nod][cla]0393__2.wav,c2ac22b5b8f41715653e1661805b57f9e14b5feb27400a4c4ce1190bfbbc2d0f
008__[flu][nod][cla]0393__3.wav,-326.47576904296875,199.8561248779297,-6.817062854766846,-18.801712036132812,-28.95146942138672,-3.1258254051208496,-23.752925872802734,-8.096672058105469,-33.63922882080078,-31.08452033996582,-17.66871452331543,-4.16103458404541,4.904842853546143,1346.8457454226068,1725.8987014358108,0.04835492579633205,0.07988061010837555,0.11820515990257263,0.20540888607501984,0.28378966450691223,0.27493995428085327,0.12068456411361694,0.6671254634857178,0.5319490432739258,0.3043750524520874,0.35797378420829773,0.25162485241889954,0.20352816581726074,Flute,C:\Users\hoang\Desktop\music media\wind_instruments\008__[flu][nod][cla]0393__3.wav,f16f79f37e89b544422964349e010d3f80f07f309d3a32141e8f98469b08396f
009__[flu][nod][cou_fol]0410__1.wav,-278.265625,34.69023895263672,-115.73190307617188,11.941926956176758,-34.627079010009766,18.916397094726562,8.959393501281738,10.320515632629395,-7.06635046005249,-5.284951210021973,-7.418508052825928,-10.709307670593262,21.71571159362793,3731.8577954326784,6536.033836570946,0.08334527328667954,0.009683201089501381,0.012794203124940395,0.1959351897239685,0.6739581823348999,0.14388853311538696,0.1922735720872879,0.23223358392715454,0.048754382878541946,0.02342711202800274,0.010224665515124798,0.018274428322911263,0.013540751300752163,Flute,C:\Users\hoang\Desktop\music media\wind_instruments\009__[flu][nod][cou_fol]0410__1.wav,25d06701b7db5d85092ee602093e07ce13ecad9ef1a2594ba4d5621b9ec60324
